TaskID,Method,Developer_Experience,Task_Complexity,Time_Taken_Min,Bugs_Found,Code_Quality_Score,Satisfaction_Score,Lines_of_Code,Debugging_Time_Min
1,Hardcoding,Expert,Medium,39.2,1,8.3,6.1,104,4.7
2,Vibe Coding,Intermediate,Low,17.2,5,7.1,8.4,27,26.8
3,Vibe Coding,Intermediate,Medium,27.1,2,5.1,7.9,81,5.3
4,Vibe Coding,Beginner,High,57.8,11,5.0,7.7,84,57.2
5,Vibe Coding,Intermediate,Low,26.5,1,7.7,9.3,38,2.9
6,Vibe Coding,Beginner,Medium,24.1,6,5.2,7.5,69,30.7
7,Vibe Coding,Intermediate,Low,18.2,2,5.5,6.7,33,11.2
8,Vibe Coding,Expert,Medium,21.9,1,6.5,8.2,71,6.3
9,Vibe Coding,Intermediate,Low,9.5,3,5.8,7.7,56,18.4
10,Vibe Coding,Beginner,Medium,41.4,5,6.0,9.0,44,28.0
11,Vibe Coding,Intermediate,Low,25.7,4,6.3,9.0,29,14.7
12,Vibe Coding,Beginner,Medium,30.1,8,5.4,7.7,58,42.7
13,Vibe Coding,Intermediate,Medium,30.2,4,6.6,8.3,84,19.5
14,Vibe Coding,Intermediate,Low,27.2,4,6.5,7.9,57,27.7
15,Hardcoding,Expert,Low,37.8,1,9.0,6.2,54,11.7
16,Hardcoding,Expert,High,54.4,4,8.0,5.1,128,19.9
17,Hardcoding,Intermediate,Low,32.1,2,7.3,8.2,53,12.7
18,Hardcoding,Beginner,High,85.4,3,5.3,6.9,137,14.7
19,Vibe Coding,Beginner,High,52.8,12,6.2,8.5,82,62.5
20,Vibe Coding,Beginner,Low,22.9,5,5.0,4.2,33,27.1
21,Hardcoding,Beginner,Medium,54.1,1,5.3,7.0,68,7.8
22,Hardcoding,Expert,Medium,48.0,1,10.0,7.9,111,1.0
23,Vibe Coding,Expert,Low,18.2,2,8.9,7.5,41,14.9
24,Hardcoding,Expert,Medium,36.7,0,9.7,5.5,82,6.5
25,Hardcoding,Beginner,Medium,63.7,0,7.5,5.8,73,8.0
26,Hardcoding,Expert,Low,29.9,0,8.3,8.6,81,0.0
27,Hardcoding,Beginner,Low,42.5,2,6.8,6.4,71,14.9
28,Hardcoding,Beginner,Medium,69.0,2,7.2,6.5,58,12.7
29,Vibe Coding,Beginner,Low,27.4,2,4.6,8.4,28,12.3
30,Vibe Coding,Expert,High,16.7,3,6.9,6.1,64,22.3
31,Hardcoding,Intermediate,High,74.9,4,6.3,7.6,150,18.2
32,Vibe Coding,Expert,High,32.8,7,7.8,4.3,87,33.0
